ticker,name,currency,exchange,industry,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,cik,annual_eps,gross_profit
adtn,ADTRAN Inc,USD,NASDAQ NMS - GLOBAL MARKET,Communications,https://static.finnhub.io/logo/544d99910973b1d04b345cd611449e802ade0468588c1066ad0a5be905a80a84.png,https://www.adtran.com/,A,High,BB,Medium,BB,Medium,510,308,300,1118,2022-04-16,BBB,High,926282,-0.03,327252000.0
adn,Advent Technologies Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,https://static.finnhub.io/logo/adca3c2e-80da-11ea-9ab0-00000000092a.png,http://amciacquisition.com/,B,Medium,B,Medium,B,Medium,250,203,220,673,2022-04-20,B,Medium,1744494,-43.2,-744000.0
aip,Arteris Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/6429ccca605b3faa9498cbbc2727b1c4fb8e3c24e577855ff8bf45eeff7d21b2.png,https://www.arteris.com/,A,High,B,Medium,BB,Medium,500,286,300,1086,2022-06-07,BBB,High,1667011,-0.84,46097000.0
akro,Akero Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/5ac79f50-80da-11ea-8fee-00000000092a.png,https://www.akerotx.com/,B,Medium,B,Medium,BB,Medium,250,246,305,801,2022-06-10,BB,Medium,1744659,0.0,0.0
airt,Air T Inc,USD,NASDAQ NMS - GLOBAL MARKET,Logistics and Transportation,https://static.finnhub.io/logo/9e54807a-80df-11ea-9dbf-00000000092a.png,http://www.airt.net/,B,Medium,B,Medium,BB,Medium,234,210,325,769,2022-04-16,BB,Medium,353184,3.78,39382000.0
akba,Akebia Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/7d6670f8-80cf-11ea-aab1-00000000092a.png,https://akebia.com/,B,Medium,B,Medium,B,Medium,200,218,215,633,2022-04-16,B,Medium,1517022,-0.51,206916000.0
airg,Airgain Inc,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,https://static.finnhub.io/logo/ff72eaca-80db-11ea-a64a-00000000092a.png,http://www.airgain.com/,A,High,BB,Medium,BB,Medium,500,300,330,1130,2022-04-16,BBB,High,1272842,-0.85,27972000.0
airs,Airsculpt Technologies Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/e5484b255e157a1ac5f11571a56a7a14e23cb71d6cf02440a54c447cae42e82a.png,https://elitebodysculpture.com/,B,Medium,B,Medium,B,Medium,210,201,205,616,2022-06-11,B,Medium,1870940,-0.26,106013000.0
akam,Akamai Technologies Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/0982f80bff901e6c53bbeda92444bf52ccfe7fb4b559716e0e2bc14037d6ca3f.png,https://www.akamai.com/,A,High,BB,Medium,BB,Medium,515,341,305,1161,2022-04-16,BBB,High,1086222,3.26,2232835000.0
akts,Akoustis Technologies Inc,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,https://static.finnhub.io/logo/c87e2de6-80db-11ea-b469-00000000092a.png,https://ir.akoustis.com/,B,Medium,BB,Medium,BBB,High,222,302,428,952,2022-04-16,BBB,High,1584754,-1.09,-4137000.0
